"","school_name","total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hisp","sys_hisp","std_hisp","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple"
"1","ACADEMY OF THE CITY CHARTER SCHOOL",406,0,0.0104897746626363,-0.63302682864874,0.216748768472906,0.112320417303245,0.624470977226832,0.120689655172414,0.310277876491123,-0.71003066839721,0.512315270935961,0.42327291587326,0.35252307778379,0.150246305418719,0.126070523490504,0.128853279131404,0,0.0118996173205081,-0.670725511939959
"2","BROOKLYN PROSPECT CHARTER SCHOOL",982,0.0285132382892057,0.0104897746626363,1.08766264173742,0.0560081466395112,0.112320417303245,-0.33674168266922,0.165987780040733,0.310277876491123,-0.540383748068098,0.327902240325866,0.42327291587326,-0.377577210874671,0.346232179226069,0.126070523490504,1.17342848991447,0.0712830957230143,0.0118996173205081,3.3471676340089
"3","CENTRAL QUEENS ACADEMY CHARTER SCHOOL",208,0,0.0104897746626363,-0.63302682864874,0.192307692307692,0.112320417303245,0.478315813936263,0.105769230769231,0.310277876491123,-0.765909450518136,0.682692307692308,0.42327291587326,1.02705417412256,0.0192307692307692,0.126070523490504,-0.569439810420091,0,0.0118996173205081,-0.670725511939959
"4","Central Queens Academy Charter School South Campus",197,0.0101522842639594,0.0104897746626363,-0.0203665458644021,0.203045685279188,0.112320417303245,0.542527925774267,0.0812182741116751,0.310277876491123,-0.857855733067256,0.65989847715736,0.42327291587326,0.936812274197478,0.0355329949238579,0.126070523490504,-0.482551401022125,0,0.0118996173205081,-0.670725511939959
"5","COMMUNITY ROOTS CHARTER SCHOOL",468,0.00854700854700855,0.0104897746626363,-0.117240180321755,0.0405982905982906,0.112320417303245,-0.428891063112388,0.329059829059829,0.310277876491123,0.0703406690742923,0.155982905982906,0.42327291587326,-1.05821433946863,0.386752136752137,0.126070523490504,1.38939376512261,0.0790598290598291,0.0118996173205081,3.78550554925985
"6","HELLENIC CLASSICAL CHARTER SCHOOL",498,0.0140562248995984,0.0104897746626363,0.215224707455278,0.0321285140562249,0.112320417303245,-0.479539470129019,0.255020080321285,0.310277876491123,-0.20694708603585,0.399598393574297,0.42327291587326,-0.0937286020794762,0.279116465863454,0.126070523490504,0.815711838858668,0.0200803212851406,0.0118996173205081,0.461107841279139
