school,mathperc_lvl34,diffmathlvl_public,stdmathlvl_public,elaperc_lvl34,diffelalvl_public,stdelalvl_public
International High School of New Orleans,0.16,-6.520547945,-0.357441478,0.32,2.783783784,0.161132394
Morris Jeff Community School,0.29,6.12962963,0.348967916,0.46,15.05555556,0.799920221
