"school","n_math","mean_math","diffmath_charter","stdmath_charter","diffmath_public","stdmath_public","mathperc_lvl34","diffmathlvl_charter","stdmathlvl_charter","diffmathlvl_public","stdmath_public.1","n_ela","mean_ela","diffela_charter","stdela_charter","diffela_public","stdela_public","elaperc_lvl34","diffelalvl_charter","stdelalvl_charter","diffelalvl_public","stdela_public.1"
"ACADEMY OF THE CITY CHARTER SCHOOL",226,610.725647,2.72927843193713,0.262070023078548,11.5193710123546,1.11199980143456,71.68141937,9.26879900520419,0.394079907747964,27.621554256641,1.23121972820996,229,605.8952026,1.47181030781246,0.191858343989076,6.38538712987474,0.664322501030283,58.51528549,1.07208853260416,0.0543673018066727,12.6358798188238,0.638066734530129
"BROOKLYN PROSPECT CHARTER SCHOOL",305,610.1114502,2.11508163193719,0.203093786844376,10.9051742123546,1.05270952257218,65.57376862,3.16114825520418,0.134401988012584,21.513903506641,0.958973640008445,308,606.5519409,2.12854860781249,0.277467693239714,7.04212542987477,0.73264819861206,60.38961029,2.94641333260417,0.149417271082817,14.5102046188238,0.732713432799863
"BROOKLYN PROSPECT CHARTER SCHOOL DOWNTOWN",464,612.7349243,4.73855573193714,0.455004295456345,13.5286483123546,1.3059614297414,76.07758331,13.6649629452042,0.580990841834182,32.017718196641,1.42717697670809,494,610.1963501,5.77295780781253,0.752535920591505,10.6865346298748,1.11180501170403,72.46963501,15.0264380526042,0.762014393252387,26.5902293388238,1.34271147303535
"CENTRAL QUEENS ACADEMY CHARTER SCHOOL",412,613.4854126,5.48904403193717,0.527067476625293,14.2791366123546,1.3784083402267,71.11650848,8.70388811520418,0.370061690145875,27.056643366641,1.2060390513376,412,610.1844482,5.76105590781253,0.750984444282226,10.6746327298748,1.11056676258707,67.4757309,10.0325339426042,0.508765632832898,21.5963252288238,1.09053717779732
"COMMUNITY ROOTS CHARTER SCHOOL",277,605.8483887,-2.14797986806286,-0.206252732227086,6.64211271235456,0.641183273750162,60.64981842,-1.76280194479581,-0.0749487422688762,16.589953306641,0.739490530164771,279,607.111084,2.68769170781252,0.350354986289297,7.6012685298748,0.790820292969185,64.15770721,6.71451025260416,0.34050341393038,18.2783015388238,0.922988849439686
"HELLENIC CLASSICAL CHARTER SCHOOL",317,617.4163818,9.42001323193711,0.904525920186824,18.2101058123545,1.7578767126888,86.43533325,24.0227128852042,1.02136948620222,42.375468136641,1.88886953562437,317,608.9779053,4.55451300781249,0.593705125393748,9.46808982987477,0.985040528918593,66.87696838,9.43377142260416,0.478401440282222,20.9975627088238,1.06030181220558
