"district","school","grade","n_math","mean_math","diffmath_charter","stdmath_public","mathperc_lvl","diffmathlvl_public","stdmathlvl_public","n_ela","mean_ela","diffela_charter","stdela_public","elaperc_lvl","diffelalvl_public","stdelalvl_public"
"San Diego Unified","High Tech High North County",13,"98",NA,NA,NA,0.2743,-0.106447619047619,-0.106447619047619,"98",NA,NA,NA,0.6815,0.196229004329004,0.196229004329004
"San Diego Unified","High Tech International",11,"99",2593,27.1234042553192,0.391707438792086,0.3718,0.3718,1.72130402306951,"98",2622.6,23.5319148936169,0.388898258544744,0.6511,0.6511,2.28473304838827
"San Diego Unified","High Tech International",13,"99",NA,NA,NA,0.3718,-0.00894761904761904,-0.00894761904761904,"98",NA,NA,NA,0.6511,0.165829004329004,0.165829004329004
"San Diego Unified","High Tech Middle",13,"301",NA,NA,NA,0.3695,-0.0112476190476191,-0.0112476190476191,"300",NA,NA,NA,0.5307,0.0454290043290044,0.0454290043290044
"San Diego Unified","High Tech Middle",6,"108",2515.5,10.2957142857144,0.198132930913062,0.3265,0.3265,1.50823732737777,"107",2533.5,20.8871428571429,0.481996273105901,0.4995,0.4995,2.3273065783591
"San Diego Unified","High Tech Middle",7,"99",2525.5,8.92285714285708,0.155947418948391,0.2911,0.2911,1.23485533311443,"99",2553.1,15.5357142857142,0.322598800074842,0.5029,0.5029,2.23582295624229
"San Diego Unified","High Tech Middle",8,"94",2585.4,56.2685714285717,0.91896266731999,0.4893,0.4893,2.29455313906529,"94",2594.6,40.2885714285712,0.860168562960431,0.6057,0.6057,2.74475757210587
"San Diego Unified","High Tech Middle Chula Vista",13,"312",NA,NA,NA,0.1905,-0.190247619047619,-0.190247619047619,"312",NA,NA,NA,0.3995,-0.0857709956709957,-0.0857709956709957
"San Diego Unified","High Tech Middle Chula Vista",6,"106",2491.5,-13.7042857142856,-0.263728209553066,0.2013,0.2013,0.929887209804426,"106",2512.9,0.287142857142953,0.00662617132168242,0.3533,0.3533,1.64612094921776
"San Diego Unified","High Tech Middle Chula Vista",7,"108",2497,-19.5771428571429,-0.342155528221066,0.1314,0.1314,0.557402922608163,"108",2551.1,13.5357142857142,0.281068839605437,0.4944,0.4944,2.19803314688047
"San Diego Unified","High Tech Middle Chula Vista",8,"98",2531.1,1.96857142857152,0.0321501613579517,0.2539,0.2539,1.19065408135843,"98",2551.4,-2.91142857142859,-0.0621595465326351,0.3558,0.3558,1.61232416073183
"San Diego Unified","High Tech Middle Media Arts",13,"313",NA,NA,NA,0.2539,-0.126847619047619,-0.126847619047619,"314",NA,NA,NA,0.403,-0.0822709956709957,-0.0822709956709957
"San Diego Unified","High Tech Middle Media Arts",6,"108",2488.3,-16.9042857142854,-0.325309694948547,0.2147,0.2147,0.991787302260359,"108",2498.3,-14.312857142857,-0.330286619263249,0.355,0.355,1.65404171234731
"San Diego Unified","High Tech Middle Media Arts",7,"103",2522.6,6.02285714285699,0.105263259411849,0.2093,0.2093,0.887857166681039,"103",2543.2,5.63571428571413,0.117025495751285,0.4427,0.4427,1.9681821887621
"San Diego Unified","High Tech Middle Media Arts",8,"102",2544.7,15.5685714285714,0.254261580899086,0.32,0.32,1.50062743613508,"103",2562.4,8.08857142857141,0.172692518384582,0.4136,0.4136,1.87424753479113
"San Diego Unified","High Tech Middle North County",13,"313",NA,NA,NA,0.2443,-0.136447619047619,-0.136447619047619,"310",NA,NA,NA,0.5219,0.0366290043290043,0.0366290043290043
"San Diego Unified","High Tech Middle North County",6,"109",2490.9,-14.3042857142855,-0.275274738064718,0.1938,0.1938,0.895241635668643,"107",2512,-0.612857142857138,-0.0141424253582128,0.3869,0.3869,1.80267250283711
"San Diego Unified","High Tech Middle North County",7,"105",2518.3,1.72285714285726,0.030110884926637,0.2039,0.2039,0.864950197258785,"105",2558.1,20.5357142857142,0.426423701248355,0.5003,0.5003,2.2242637204375
"San Diego Unified","High Tech Middle North County",8,"99",2570,40.8685714285716,0.667454148133703,0.3214,0.3214,1.50719268116817,"98",2609.7,55.3885714285711,1.18255639752861,0.7019,0.7019,3.18069232270283
