"comparison","n.x","avg_schoolmean.x","sd_schoolmean.x","avg_perc_lvl34.x","sd_perc_lvl34.x","n.y","avg_schoolmean.y","sd_schoolmean.y","avg_perc_lvl34.y","sd_perc_lvl34.y"
"NYC charters",191,607.996368568063,10.414309885107,62.4126203647958,23.5201004237245,192,604.423392292187,7.67133853660421,57.4431969573958,19.7193625024183
"NYC public",1117,599.206275987645,10.3591484436362,44.059865113359,22.4343012248507,1118,599.509815470125,9.61187844754888,45.8794056711762,19.8033828360114
