"sitename","sys_name","total_stud","sys_avgenrolled","std_total","perc_amind","sys_amind","std_amind","perc_asian","sys_asian","std_asian","perc_black","sys_black","std_black","perc_hawpi","sys_hawpi","std_hawpi","perc_hispanic","sys_hispanic","std_hispanic","perc_white","sys_white","std_white","perc_multiple","sys_multiple","std_multiple","%ed","sys_ed","std_ed","%lep","sys_lep","std_lep"
"Kenner Discovery Health Sciences Academy","Jefferson Parish",1855,601.97619047619,3.51406428352169,0.00323450134770889,0.00508696471636073,-0.160271446851859,0.0436657681940701,0.0449824624308325,-0.0259646123734158,0.163881401617251,0.383526889404239,-1.04418406497079,0.000539083557951483,0.000366364523493944,0.16095446318508,0.274393530997305,0.293597337032809,-0.0989402575573926,0.484097035040431,0.245395293619946,1.33142995187683,0.030188679245283,0.0270446882723178,0.225073736547107,0.660916442048518,0.77840391070755,-0.663423716467271,0.0425876010781671,0.159605110481757,-0.860608937198434
"Morris Jeff Community School","Orleans Parish",1236,599.217948717949,2.00139220184706,0.000809061488673139,0.00272392813843264,-0.245666582902118,0.0040453074433657,0.0171400398410352,-0.343340640429468,0.499190938511327,0.81565409890925,-1.72493866720116,0,0.000525600565906425,-0.412937502648358,0.215210355987055,0.0949369304740702,1.21522088800177,0.23705501618123,0.0560631211255494,1.51526178852945,0.0436893203883495,0.012956280945756,1.52134737555226,0.699029126213592,0.849948595216,-0.949092220284295,0.135113268608414,0.0742585719445124,0.636485590961499
"International High School of New Orleans","Type 2 Charters",456,643.525,-0.32487635834193,0,0.00675023014655676,-0.702273303713044,0.0241228070175439,0.00796578017287556,1.79121030705636,0.640350877192982,0.617215550582445,0.0758527351069933,0,0.00113776136449487,-0.510749417067905,0.278508771929825,0.0639599410724873,2.62322413098879,0.0526315789473684,0.283645561892051,-0.848704136376232,0.0043859649122807,0.0193251747690895,-0.511480769204719,0.765350877192982,0.756974893704313,0.0521606268078194,0.155701754385965,0.0194560004079025,4.10118796275853
"International School of Louisiana","Type 2 Charters",1401,643.525,1.31228219989363,0.00285510349750178,0.00675023014655676,-0.405237066118091,0.0164168451106353,0.00796578017287556,0.936907190143902,0.411134903640257,0.617215550582445,-0.675667172818904,0.00142755174875089,0.00113776136449487,0.130089027848437,0.284796573875803,0.0639599410724873,2.7001031973051,0.244111349036403,0.283645561892051,-0.145241641009243,0.0392576730906495,0.0193251747690895,0.68243833987222,0.609564596716631,0.756974893704313,-0.917983362694759,0.0364025695931477,0.0194560004079025,0.510115460653351
"Lycee Francais de la Nouvelle-Orleans","Type 2 Charters",1035,643.525,0.67820809162462,0.00289855072463768,0.00675023014655676,-0.400716949459038,0.00869565217391304,0.00796578017287556,0.0809155213801975,0.206763285024155,0.617215550582445,-1.34573103278681,0.00289855072463768,0.00113776136449487,0.790431251523102,0.160386473429952,0.0639599410724873,1.1789782565437,0.52463768115942,0.283645561892051,0.885362028086702,0.093719806763285,0.0193251747690895,2.54708408020325,0.469565217391304,0.756974893704313,-1.78981595264593,0.0376811594202899,0.0194560004079025,0.548602804700968
